;Label;day;Cpa3Cre;OVA_delivery;Seq_ID
1;37390;naive;wt;untreated;AS-929242-LR-66679
2;37393;naive;KO;untreated;AS-929244-LR-66679
3;37391;d0;wt;imm;AS-929246-LR-66679
4;37394;d0;KO;imm;AS-929248-LR-66679
5;37395;d7;wt;2-BT;AS-929250-LR-66679
6;37587;d7;wt;Gavage;AS-929252-LR-66679
7;37588;d7;KO;2-BT;AS-929254-LR-66679
8;37589;d7;KO;Gavage;AS-929256-LR-66679
9;37471;d11;wt;2-BT;AS-929258-LR-66679
10;37660;d11;KO;2-BT;AS-929262-LR-66679
11;37661;d11;KO;Gavage;AS-929264-LR-66679
12;37662;d16;KO;2-BT;AS-929268-LR-66679
13;37664;d16;KO;Gavage;AS-929270-LR-66679
14;37398;naive;wt;untreated;AS-929272-LR-66679
15;37392;naive;KO;untreated;AS-929274-LR-66679
16;37477;d0;wt;imm;AS-929276-LR-66679
17;37473;d0;KO;imm;AS-929278-LR-66679
18;37592;d7;wt;2-BT;AS-929280-LR-66679
19;37658;d7;KO;Gavage;AS-929282-LR-66679
20;37590;d7;KO;2-BT;AS-929284-LR-66679
21;37657;d7;wt;Gavage;AS-929286-LR-66679
22;37672;d11;wt;Gavage;AS-929288-LR-66679
23;37671;d11;KO;2-BT;AS-929290-LR-66679
24;37659;d11;KO;Gavage;AS-929292-LR-66679
25;37396;d16;wt;2-BT;AS-929294-LR-66679
26;37397;d16;wt;Gavage;AS-929296-LR-66679
27;37403;d16;KO;Gavage;AS-929298-LR-66679
28;37652;naive;wt;untreated;AS-929300-LR-66679
29;37655;naive;KO;untreated;AS-929302-LR-66679
30;37663;d0;wt;imm;AS-929304-LR-66679
31;37654;d0;KO;imm;AS-929306-LR-66679
32;37647;d7;wt;2-BT;AS-929308-LR-66679
33;37649;d7;wt;Gavage;AS-929310-LR-66679
34;37404;d7;KO;2-BT;AS-929312-LR-66679
35;37405;d7;KO;Gavage;AS-929314-LR-66679
36;37646;d11;wt;2-BT;AS-929316-LR-66679
37;37650;d11;wt;Gavage;AS-929318-LR-66679
38;37668;d11;KO;2-BT;AS-929320-LR-66679
39;37669;d11;KO;Gavage;AS-929322-LR-66679
40;37648;d16;wt;2-BT;AS-929324-LR-66679
41;37670;d16;wt;Gavage;AS-929326-LR-66679
42;37556;d16;KO;2-BT;AS-929328-LR-66679
43;37557;d16;KO;Gavage;AS-929330-LR-66679
