;Label;day;Cpa3Cre;OVA_delivery;Seq_ID
1;37665;naive;KO;untreated;AS-935769-LR-66850
2;37981;d0;KO;imm;AS-935771-LR-66850
3;37475;d7;wt;2-BT;AS-935773-LR-66850
4;37801;d7;KO;2-BT;AS-935775-LR-66850
5;37802;d7;KO;Gavage;AS-935777-LR-66850
6;37797;d11;wt;2-BT;AS-935779-LR-66850
7;37800;d11;wt;Gavage;AS-935781-LR-66850
8;37798;d11;KO;2-BT;AS-935783-LR-66850
9;37799;d11;KO;Gavage;AS-935785-LR-66850
10;37809;d16;wt;2-BT;AS-935787-LR-66850
11;37810;d16;wt;Gavage;AS-935789-LR-66850
12;37808;d16;KO;2-BT;AS-935791-LR-66850
13;37653;naive;wt;untreated;AS-935793-LR-66850
14;37651;naive;KO;untreated;AS-935795-LR-66850
15;38143;d0;wt;imm;AS-935797-LR-66850
16;38151;d7;wt;2-BT;AS-935799-LR-66850
17;38152;d7;wt;Gavage;AS-935801-LR-66850
18;37666;d7;KO;2-BT;AS-935803-LR-66850
19;37667;d7;KO;Gavage;AS-935805-LR-66850
20;37803;d11;wt;2-BT;AS-935807-LR-66850
21;37804;d11;wt;Gavage;AS-935809-LR-66850
22;37805;d11;KO;2-BT;AS-935811-LR-66850
23;38135;d16;wt;2-BT;AS-935813-LR-66850
24;38150;d16;wt;Gavage;AS-935815-LR-66850
25;37593;d16;KO;Gavage;AS-935817-LR-66850
26;38142;d0;wt;imm;AS-935819-LR-66850
27;37796;d0;KO;imm;AS-935821-LR-66850
28;37877;d7;wt;2-BT;AS-935823-LR-66850
29;37878;d7;wt;Gavage;AS-935825-LR-66850
30;37876;d7;KO;2-BT;AS-935827-LR-66850
31;37594;d7;KO;Gavage;AS-935829-LR-66850
32;38146;d16;wt;2-BT;AS-935831-LR-66850
33;38144;d16;KO;2-BT;AS-935833-LR-66850
34;37587;d7;wt;Gavage;AS-935835-LR-66850
35;37471;d11;wt;2-BT;AS-935837-LR-66850
36;37660;d11;KO;2-BT;AS-935841-LR-66850
37;37661;d11;KO;Gavage;AS-935843-LR-66850
38;37662;d16;KO;2-BT;AS-935845-LR-66850
39;37664;d16;KO;Gavage;AS-935847-LR-66850
40;37652;naive;wt;untreated;AS-935849-LR-66850
41;37655;naive;KO;untreated;AS-935851-LR-66850
42;37663;d0;wt;imm;AS-935853-LR-66850
43;37647;d7;wt;2-BT;AS-935855-LR-66850
44;37646;d11;wt;2-BT;AS-935857-LR-66850
45;37669;d11;KO;Gavage;AS-935859-LR-66850
46;37648;d16;wt;2-BT;AS-935861-LR-66850
47;37670;d16;wt;Gavage;AS-935863-LR-66850
48;37557;d16;KO;Gavage;AS-935865-LR-66850
